strasse;strassen_bez;herkunft;beschluss;gueltig_ab
3544;Stiftsstraße;;;
2220;Kelzenbergstraße;"Josef Kelzenberg (1888-1961), katholischer Pfarrer in Friesdorf 1939-1961.";1977-03-24;1978-01-01
4719;"Lengsdorfer Hauptstraße";"Lengsdorf, Ortsteil von Bonn.";1972-12-19;
1523;"Am Marienhospital";"Nach dem dort 1890-1892 erbauten St. Marienhospital.";1972-12-19;
3040;Schillingsweg;"Benannt nach den Ministerialen von Schilling (Schillink), die auf der Wasserburg von Vilich ansässig waren.";1979-09-18;
4270;Georg-Elser-Weg;"Johann Georg Elser (1903-1945), Widerstandskämpfer. Sein Bombenattentat auf Adolf Hitler am 08.11.1939 schlug fehl.";2011-01-08;2011-03-02
1721;"Stettiner Straße";"Stettin, Stadt an der Oder, heute Szczecin in Polen.";1959-03-13;
1151;Christian-Miesen-Straße;"Christian Miesen (1853-1915), früherer Besitzer der ehemals dort gelegenen Fahrzeug- und Karosseriewerke gegründet 1870.";;
4005;"Am Vogelherd";"Flurname. Bezieht sich auf den Vogelfang mit Schlaggarnen und Lockvögeln.";1956-10-17;
4086;Johann-Wilhelm-Schirmer-Straße;"Johann Wilhelm Schirmer (1807-1863), Maler und Graphiker.";1989-04-25;
3367;Mirecourtplatz;"Der Straßenname bezieht sich auf die französische Stadt Mirecourt, mit der die damalige Stadt Beuel im Juni 1969  eine Städtepartnerschaft begründet hat.";2018-03-13;2019-04-03
4494;Hüttenweg;;1967-04-27;
4611;Buchholzstraße;"Wilhelm Buchholz (1848-1908), Hauptlehrer in Ippendorf.";1926-09-03;
3628;"Obere Wilhelmstraße";"Prinz Wilhelm von Preußen (1797-1888), später König Wilhelm I. von Preußen 1861-1888 und Deutscher Kaiser 1871-1888.";1977-03-24;1978-01-01
3525;Schultheißstraße;"Schultheißen sorgten im Auftrag der Vilicher Äbtissin für die weltliche Ordnung und übten die niedere Gerichtsbarkeit in der Herrlichkeit Vilich aus.";;
4307;Gellertstraße;"Christian Fürchtegott Gellert (1715-1769), Schriftsteller.";1972-12-19;
3357;Paul-Schumacher-Straße;"Paul Schumacher (1890-1963), Lehrer an der Volksschule in Vilich 1911-1956.";1989-04-25;
2252;"Lannesdorfer Straße";"Lannesdorf, Ortsteil von Bonn.";1935-05-09;
4309;"In der Dehlen";Flurname.;1980-12-16;
1077;"An der Düne";;1968-06-20;
1453;Konviktstraße;"Hier befand sich das ehemalige katholische Theologenkonvikt.";;
1563;Moses-Hess-Ufer;"Moses Hess (1812-1875), Journalist und politischer Schriftsteller, geboren in Bonn, Hauptvertreter des so genannten Philosophischen Sozialismus.";2011-11-08;2011-11-23
3808;"Am Weitgarten";Flurname.;;
1753;"An der Schwarzen Brücke";;1996-12-17;2009-12-02
1259;Gerhard-Samuel-Straße;"Gerhard Samuel  (1924-2008), Komponist, Geiger und Dirigent. Sohn des Bonner Arztes Arthur Samuel. Emigrierte mit seiner Familie 1939 in die USA.";2016-01-26;2016-02-10
1553;Münsterplatz;"Platz vor dem Bonner Münster.";;
1343;"Hohe Straße";"Durchgangsstraße für Heere und Handel bzw. den Kaiser.";;
3690;Willi-Graf-Ring;"Willi Graf (1918-1944), führendes Mitglied der Widerstandsgruppe ""Weiße Rose"" in der Nazizeit. Graf studierte in Bonn Medizin und saß wegen seiner Mitgliedschaft in einer illegalen Nachfolgeorganisation der katholischen Jugendbewegung in Bonn in Untersuchungshaft. 1944 hingerichtet.";2008-12-03;2008-12-23
2527;Juppi-Schaefer-Weg;"Juppi Schaefer: 16.10.1947 - 17.12.2018
Josef Schaefer, genannt ""Juppi"", begann seine kommunalpolitische Arbeit 2012 mit der Gründung des Vereins ""Die Godesberger"", dessen Vorsitzender er wurde. Für die im darauffolgenden Jahr aus dem Verein hervorgegangene gleichnamige Partei wurde er 2014 als Bezirksverordneter in die Bezirksvertretung Bad Godesberg gewählt. Darüber hinaus war er Chronist Bad Godesberger Heimatgeschichte, die er mit seinen Fotos und Filmen dokumentierte.";2020-01-30;2020-02-26
3854;Weidenstraße;"Nach den Korbweiden, die damals das Ufer des Weihers säumten.";1896-11-30;
2105;Elisabethstraße;"Elisabeth von der Heydt (1864-1961), Ehefrau des Bankiers Karl von der Heydt, Erbauer der Villa Stella Rheni, heute Teil des Aloisiuskolleg.";1892-08-06;
2353;Rubensstraße;"Peter Paul Rubens (1577-1640), Maler.";;
1556;Memelweg;"Memel, deutscher Name eines in Weißrussland entspringenden und als Grenzfluss zwischen Litauen und der russischen Enklave Kaliningrad (Königsberg) in dei Ostsee mündenden Stroms.";1971-06-24;1971-08-09
1801;Genscherallee;"Hans-Dietrich-Genscher, 21.03.1927-31.03.2016. Politiker der FDP, 1969-1974 Bundesinnenminister, 1974-1992 fast ununterbrochen Bundesaußenminister und Vizekanzler. Berühmt ist seine Ansprache am 30.09.1989 in der Prager Botschaft, mit der er dorthinn geflohenen Angehörigen der ehemaligen DDR ihre Ausreise verkündete, die er in Verhandlungen mit dem sowjetischen Außenminister Eduard Schewardnadse erreicht hatte.";2017-03-07;2017-04-05
2454;Wörthstraße;"Wörth, Stadt im Elsass, Schlachtort des Deutsch-französischen Krieges 1870/71.";1902-05-02;
3660;Zingsheimstraße;"Maximilian Zingsheim (1877-1957), Pfarrer an St. Josef in Beuel 1923-1949, Ehrenbürger von Beuel 1951.";1958-03-24;
1761;Heinrich-Lübke-Straße;"Heinrich Lübke (1894-1972), zweiter deutscher Bundespräsident 1959-1969.";1972-12-19;
4766;Hugo-Junkers-Straße;"Hugo Junkers (1859-1935), Flugzeugkonstrukteur.";1992-04-29;
1245;Friesenweg;"Friesen, germanischer Volksstamm.";;
2473;Konrad-Adenauer-Brücke;"Konrad Adenauer (1876-1967), Politiker, Oberbürgermeister in Köln 1917-1933, erster deutscher Bundeskanzler 1949-1963.";;
4606;"Auf dem Essig";Flurname;;
3219;"Im Alten Wingert";"Der Name nimmt Bezug auf die lange Nutzung als Weinberg vom frühen Mittelalter bis in die zweite Hälfte des 19. Jahrhunderts.";2005-04-21;
4777;Rita-Maiburg-Straße;"Rita Maiburg: 23.06.1952 (Bonn) - 09.09.1977 (Greven)
Sie war eine deutsche Pilotin und die erste weibliche Linienflugkapitänin der Welt. Sie starb an einer Lungenembolie, nachdem sie eine Woche zuvor einen Autounfall hatte.";2021-03-09;2021-03-31
1240;Friedrich-Ebert-Allee;"Friedrich Ebert (1871-1925), erster deutscher Reichspräsident 1919-1924.";1927-05-28;1945-06-04
1597;"Osloer Straße";"Oslo, Hauptstadt von Norwegen.";1976-06-01;1976-07-02
4444;Kirchplatz;;1915-10-15;
4256;"Im Schildchen";"Flurname. Im Mittelalter wurden Flurstücke, die nicht rechtwinklig, sondern trapezförmig verliefen, vielerorts nach dem Schild der Ritter benannt.";1985-01-29;1985-02-08
4361;Nonnenstrombergstraße;"Nonnenstromberg, Berg des Siebengebirges.";1972-12-19;
3866;Heinrich-Konen-Straße;"Heinrich Konen (1874-1948), Physiker, Professor an der Universität Bonn.";1992-12-10;
3902;Hermann-Bleibtreu-Ufer;"Hermann Bleibtreu (1821-1881), Patentinhaber des Portlandzements, Fabrikant, Mitbegründer der Zementfabrik des Bonner Bergwerks- und Hüttenvereins 1856.";2000-06-08;2001-01-01
2069;"Breiter Weg";;1964-11-23;
1212;E.-T.-A.-Hoffmann-Straße;"Ernst Theodor Amadeus Hoffmann (1776-1822), Dichter.";1955-12-01;1955-12-01
2260;"Am Draitschbusch";"Wäldchen am Hang des Godesberger Baches. Dreis (Quelle) oder Draetsch(e)  (Viehtränke); Quellort der Draitschquelle. Erwähnung des Draitschbusches im Rat am 09.03.1901.";1977-03-24;1978-01-01
3234;"In der Dahlbitze";"Zusammensetzung von Tal (Bodensenke) und Bitze (abgegrenztes, eingefriedetes Land).";1963-11-06;
1180;Dohmstraße;"Leonhard Dohm (1874-1944), Pfarrer in Endenich 1915-1944.";1968-06-20;
1317;Hauweg;"Ein Weg mit forstwirtschaftlicher Bedeutung.";;
3167;Frankenweg;"Franken, germanischer Volksstamm.";1955-04-18;
3074;Bröhlweg;"Flurname. Bröhl bedeutet nasse Wiese.";1968-11-06;
1196;Eifelstraße;"Eifel, Region südwestlich von Bonn.";1902-02-28;
4396;Einsteinstraße;"Albert Einstein (1879-1955), Physiker, formulierte die Relativitätstheorie.";1967-04-27;
4340;Klarastraße;;1984-01-31;
1362;"Im Dottenberg";"Flurname, Bergvorsprung des Venusberges auf Dottendorfer Gebiet.";1976-04-01;1976-06-25
4068;Florastraße;;;
3757;Küppersgarten;Flurname.;1972-12-19;
4718;"Weimarer Straße";"Weimar, Stadt in Thüringen, Wohnort Goethes und Schillers, Sitz der Nationalversammlung 1919.";1977-05-03;1978-01-01
3012;"Am Herz-Jesu-Kloster";"Das frühere Karmeliterkloster war 1920 vom Sacré-Coer-Orden erworben worden, an dessen Schulgebäude (St. Adelheid-Gymnasium) die Straße vorbeiläuft.";1956-03-20;
4765;Fockestraße;"Heinrich Focke (1890-1979), Flugzeugkonstrukteur.";1982-07-06;
1504;"Lübener Weg";"Lüben, Stadt in Schlesien, heute Lubin in Polen.";1971-06-24;1971-08-09
2467;Etzelstraße;"Etzel (Attila), Gestalt aus der Nibelungensage.";1973-11-13;1973-12-04
3289;Kurlandstraße;"Kurland, Region in der Republik Lettland (lettisch: Kurzeme).";1977-03-24;1978-01-01
1568;Neefestraße;"Christian Gottlob Neefe (1748-1798), Hofmusikdirektor in Bonn und Musiklehrer Beethovens.";1953-02-05;
1639;Regerstraße;"Max Reger (1873-1916), Komponist.";1953-02-05;
1128;"Burbacher Straße";"Ehemaliger Hof des Klosters Mariabrunn in Burbach, Ortsteil von Hürth-Gleuel.";1904-07-15;
1097;"Kopenhagener Straße";"Kopenhagen, Hauptstadt von Dänemark.";1977-03-24;1978-01-01
3700;"Birlinghovener Straße";"Birlinghoven, Dorf und gleichnamiges Schloss auf dem heutigen Stadtgebiet von St. Augustin.";;
3856;"An der Post";"An der Straßenecke steht das ehemalige Postamtsgebäude von Oberkassel.";1994-04-26;
1703;Schützenstraße;"Schießplatz der St. Sebastianus-Schützen-Gesellschaft im später zugeschütteten Stadtgraben.";1869-09-20;
2094;"Im Bachele";Flurname.;1977-03-24;1978-01-01
1202;Engelbertzstraße;"Carl Engelbertz, Ziegeleibesitzer, Gemeindevorsteher von Endenich 1893-1903.";1956-03-01;
1141;Rabinstraße;"Jitzchak Rabin (1922-1995), Ministerpräsident von Israel 1974-1977 und 1992-1995.";1996-07-02;
2178;Holbeinstraße;"Hans Holbein der Jüngere (1497/98-1543), Maler.";1955-03-07;
1282;Graf-Galen-Straße;"Clemens August Graf von Galen (1878-1946), Bischof von Münster, Kardinal, predigte gegen die Euthanasie-Verbrechen des NS-Regimes.";1949-08-05;
3754;Paul-Langen-Straße;"Paul Langen (1893-1945), Lehrer in Holzlar, 1944 wegen Wehrkraftzersetzung verhaftet und 1945 im Siegburger Gefängnis verstorben.";1962-09-07;
1600;Pfarrer-Schneider-Straße;"Bartholomäus Schneider (1878-1956), Pfarrer an St. Antonius in Dransdorf 1911-1948.";1976-06-01;1976-07-02
1011;Alexanderstraße;"Alexander Oster  (gestorben 1908), Besitzer des Bonner Gaswerks.";1886-09-24;
2276;"Schwertberger Straße";"Schwertberg, Stadt in Österreich, Partnerstadt der freiwilligen Feuerwehr von Bad Godesberg.";1977-03-24;1978-01-01
1312;Harleßstraße;"Christian Friedrich Harleß (1773-1853), Mediziner, Professor an der Universität Bonn; möglicherweise aber auch Adolf von Harleß (1806-1879), evangelischer Theologe.";1949-08-05;
3018;"Am Stadion";"Nach dem in der Nähe liegenden Stadion.";1963-11-06;
3146;Everhardstraße;"Everhard Schenk (gestorben 1812), Karmeliter, setzte nach der Säkularisation seines Klosters in Pützchen den Gottesdienst in der Wallfahrtskirche fort.";1963-11-06;
2233;Milchgäßchen;"Der Weg zu einem Milchgeschäft im Innenblock dieser Straße hatte bereits im Volksmund die Bezeichnung Milchgäßchen.";1986-11-18;
1700;"Schneidemühler Straße";"Schneidemühl, Stadt in Posen-Westpreußen, heute Pila in Polen.";1959-03-13;
2202;Magnolienweg;;1990-09-25;
2499;"Mehlemer Dorfplatz";"Mehlem. Ortsteil von Bonn.";1998-08-27;
4776;Rheinbleichardweg;"Der Straßenname bezieht sich auf den früheren Weinanbau in Lengsdorf sowie auf die Bezeichnung des Lengsdorfer Weines Rheinbleichard.";2009-01-29;2009-02-25
3860;Reifenbergstraße;"Benno Reifenberg (1892-1970), Publizist, Mitherausgeber der Frankfurter Allgemeinen Zeitung, geboren in Oberkassel.";1981-06-02;
2200;"In der Kumme";"Die Kumme war eine im Frühmittelalter noch wasserführende Stromrinne des Rheins (Altrheinarm).";;
3901;"Im Gerott";Flurname.;1987-12-15;
4808;Malgisostraße;"Für den Bonner Ortsteil Lessenich gab es im frühen Mittelalter zwei Namen: Malgiso (fränkisch) und Lessenich (gallorömisch), der sich durchgesetzt hat.";1974-03-12;1974-04-02
2227;Klufterplatz;"Nach dem heute noch bestehenden gleichnamigen Hof.";1945-05-14;
2410;Theaterplatz;"Lage am Stadttheater.";1955-09-29;
2443;Weinbergstraße;"Verweist auf den einst bedeutenden Weinbau von Muffendorf.";;
3401;Ölbergweg;"Ölberg, Berg im Siebengebirge";1956-03-20;
3720;Steinacker;Flurname.;1977-03-24;1978-01-01
1100;Borkenweg;;1972-12-19;
2279;Matthias-Grünewald-Straße;"Matthias Grünewald (1460-1528), Maler.";1959-11-30;
1227;Rotkehlchenweg;;1977-10-04;1977-10-14
4206;Otto-Hahn-Straße;"Otto Hahn (1879-1968), Chemiker, Nobelpreisträger 1945.";1972-12-19;2009-12-02
2151;Grubenstraße;"Erinnerung an die einst für Lannesdorf bedeutsamen Tongruben.";1935-05-09;
2113;Professor-Dennert-Straße;"Eberhard Dennert (1861-1942), Naturphilosoph, Professor an der Bonner Universität.";1977-03-24;1978-01-01
4035;"Auf dem Kirchbüchel";Flurname.;1977-06-07;1977-12-16
1731;"Stockholmer Straße";"Stockholm, Hauptstadt von Schweden.";1976-03-09;1976-06-25
1615;Pfaffenweiherweg;Flurname.;;
4750;"Am Prinzenrain";Flurname.;;
1244;Frieda-Mager-Allee;"Frieda Mager: 13.04.1912 - 09.04.1994
Frieda Mager, eine Putzfrau aus Bonn, unterstützte ihre jü-dische Nachbarin Emma Schubert. Sie erledigte Einkäufe, be-sorgte zusätzliches Essen, damit Emma Schubert Pakete an ih-re nach Theresienstadt deportierten Verwandten schicken konnte. Sie hielt Kontakt zu Emma Schubert und ihrem Mann nach deren Inhaftierung in Kassel und versteckte die beiden in der Endphase des Krieges im Haus ihrer Mutter.
Sie wurde 2006 von der Gedenkstätte Yad Vashem als Gerechte unter den Völkern geehrt.
";2022-05-03;2022-07-27
2397;"Am Nippenkreuz";"Nach dem dort befindlichen Kreuz aus der Pestzeit (1626).";1977-03-24;1978-01-01
2056;Benngasse;"Die Bedeutung ist nicht zu erklären, zumal die Schreibweise unterschiedlich ist. Im Rat von Muffendorf wird am 30.04.1869 eine Penngasse erwähnt, am 30.08.1888 beschloss der Rat eine Verbreiterung der Penngasse. Auf einer Karte von 1907 findet sich eine Banngasse.";;
3108;Franz-Buchbender-Straße;"Franz Buchbender (1900-1987), Jugendkaplan in Küdinghoven 1930-1936, Rektoratspfarrer in Geislar 1936-1948.";2013-12-12;2014-01-15
4212;Von-den-Driesch-Straße;"Benannt nach Vater und Sohn Theodor Von den Driesch. Der Sohn (1898-1985) war von 1927-1930 Lehrer in Buschdorf, der Vater (1847-1929) ehemaliger Schulrat.";1972-12-19;
1121;Brucknerstraße;"Anton Bruckner (1824-1896), Komponist.";1952-03-21;
4105;Hildegard-Wegscheider-Straße;"Hildegard Wegscheider-Ziegler (1871-1953), Politikerin, Stadtverordnete in Bonn 1919/1920, Mitglied der preußischen Landesversammlung 1919-1921 und des Preußischen Landtages 1921-1933.";2013-10-15;2014-04-16
3288;Käsbergstraße;"Der Ausdruck Käsberg war in der Bevölkerung lange Zeit schon geläufig, ohne dass gesagt werden könnte, worauf er zurückzuführen ist.";1972-12-19;
4264;Adolf-Heuser-Weg;"Adolf Heuser (1907-1988), Boxer, Europa- und Weltmeister, in Bonn-Buschdorf geboren";1996-12-10;1997-01-22
3702;Hoholzstraße;"Hoholz, Ortsteil von Bonn.";1972-12-19;
2280;Max-Franz-Straße;"Maximilian Franz von Österreich (1756-1801), letzter Kurfürst von Köln 1784-1801.";1899-02-09;
4443;Kuckucksweg;;1967-04-27;
3541;Steinerstraße;"Namengebend war der so genannte Bauernstein, ein dörflicher Versammlungsplatz.";;
1656;Röckumstraße;Flurname.;;
4454;Maarweg;Flurname.;1881-07-13;
1114;Bottlerplatz;"Friedrich Bottler (1870-1922), Oberbürgermeister von Bonn 1920-1922.";1926-11-05;
2486;"Am Erdbeerfeld";;1990-03-27;
3783;Jasminweg;;1993-05-25;
1439;Karlrobert-Kreiten-Straße;"Karlrobert Kreiten (1916-1943), Pianist, geboren in Godesberg, wegen ""Wehrkraftzersetzung"" verurteilt und hingerichtet.";1984-08-28;
1810;Wenzelgasse;"Im Mittelalter wohnten hier die Wenster, die Wurstmacher.";;
3867;"Auf den sechs Morgen";Flurname.;1995-02-14;
4447;"Königsberger Weg";"Königsberg, Hauptstadt von Ostpreußen, heute Kaliningrad in der gleichnamigen russischen Exklave.";1950-12-04;
4803;"Auf der Erk";"Flurname. Hinweis auf ein dort gelegenes Grabenwehr (Erke / Arke ist ein Wehr bzw. eine Schleuse, lateinisch: arca: Kasten) eines Mühlengrabens, welcher zum Mühlenteich führt.";1960-07-24;
1752;"Meßdorfer Feldweg";"Meßdorf, ein Ortsteil von Bonn-Lessenich.";1996-12-17;
3782;"Weiers Wiesen";Flurname.;1993-02-09;
3803;"Am Kriegersgraben";Flurname.;1951-03-30;
4087;Max-Ernst-Straße;"Max Ernst (1891-1976), aus Brühl stammender Maler des Surrealismus und Plastiker.";1989-03-14;
3266;Johannes-Bücher-Ufer;"Johannes Bücher (1905-1999), Beigeordneter der ehemaligen Stadt Beuel und Heimatforscher.";2000-03-16;2000-09-15
1136;Blumenhof;;1984-05-15;
2523;Paula-Modersohn-Becker-Weg;"Paula Modersohn-Becker (1876-1907), Malerin des Expressionismus.";2015-03-18;
1784;Von-Hymmen-Platz;"Ludwig Anton Friedrich Heinrich Eberhard von Hymmen, (1784-1854), Landrat des Landkreises Bonn 1820-1854. Er wohnte in der Endenicher Burg.";1926-12-03;
1706;Siegweg;"Sieg, rechter Nebenfluss des Rheins.";;
1153;"Chemnitzer Weg";"Chemnitz, Stadt in Sachsen.";1971-06-24;1971-08-09
1075;"Am Klostergarten";"Bezieht sich auf das in der Nähe gelegene Benediktinerinnenkloster, das 1857 gegründet und 2011 aufgegeben wurde.";1968-06-20;
1555;Mörikestraße;"Eduard Mörike (1804-1875), Dichter.";1974-10-22;1978-01-01
1172;"Dottendorfer Straße";"Die Straße führt durch den Bonner Ortsteil Dottendorf.";1904-07-15;
4717;Hardtbergstraße;"Hardtberg, Berg im Westen von Bonn und Stadtbezirk von Bonn. Hardt bezeichnet einen bewaldeten Hang bzw. Anhöhe.";1950-05-21;
4336;Josef-Böcker-Straße;"Josef Böcker (1879-1964), ehemaliger Besitzer von Gut Medinghoven und Amtsbürgermeister von Duisdorf 1946-1948.";1970-09-29;
2065;Bodelschwinghstraße;"Friedrich von Bodelschwingh (1831-1910), evangelischer Pastor, Begründer der Heilanstalt Bethel bei Bielefeld.";1961-02-03;
4076;"Zum Wingertsberg";"Flurname. Wingert bedeutet Weingarten oder -berg.";1972-12-19;
3822;Heckelsgasse;;1867-08-09;
1140;"Auf dem Junkerfeld";"Flurname. Feld der Junker von Burg Dottendorf.";1980-10-21;
2208;Joseph-Roth-Straße;"Joseph Roth (1896-1945), Friesdorfer Lehrer, Zentrumspolitiker, in der NS-Zeit verfolgt, starb er an den Folgen der Inhaftierung in einem Konzentrationslager.";1956-02-23;
2238;Kolumbusring;"Christoph Columbus (1451-1506), Entdecker Amerikas 1492.";1951-10-19;
1578;Nahum-Goldmann-Allee;"Nahum Goldmann (1895-1982), u.a. Präsident des jüdischen Weltkongresses.";1988-04-19;
3204;Heinrich-Wolsing-Weg;"Heinz Wolsing (1923-2001), Pfarrer von Sankt Gallus in Küdinghoven 1974-2001 und Sankt Cäciliam in Oberkassel 1995-2001.";;2003-11-01
4742;Von-Guericke-Allee;"Otto von Guericke (1602-1686), Physiker, Erfinder der Luftpumpe.";1982-06-02;1982-07-02
1698;Schmidtbonnstraße;"Wilhelm Schmidtbonn, Künstlername von Wilhelm Schmidt (1876-1952), Schriftsteller.";1959-12-03;
2186;Wiedstraße;"Hermann von Wied (1477-1552), Kölner Erzbischof und Kurfürst 1515-1547.";1977-03-24;1978-01-01
1474;Lambertusweg;"Lambert war der Name eines Ritters von Dransdorf um 1224.";1959-03-13;
3223;"Im Bonnet";"Flurname. Bonnet bezeichnet eine Wiesenquelle.";1963-11-06;
1728;Stresemannufer;"Gustav Stresemann (1878-1929), Politiker, Reichskanzler 1923, Außenminister 1923-1929, mit Aristide Briand Friedensnobelpreis 1926.";1952-10-10;
1844;"Zülpicher Straße";"Zülpich, Stadt in der Voreifel.";;
2405;Südstraße;;1902-05-02;
4238;"Greifswalder Weg";"Greifswald, Stadt in Vorpommern.";1981-07-14;
4622;"Im Acker";Flurname.;1951-02-01;
1501;Lutfridstraße;"Ein Lutfrid ist der erste namentlich genannte Endenicher Bürger (9. Jahrhundert).";1954-03-08;
4475;Semmelweisstraße;"Ignaz Philipp Semmelweis (1818-1865), Mediziner, Gynäkologe.";1962-06-15;
4235;Heinrich-Bursch-Straße;"Heinrich Bursch (1847-1926), Gründungsmitglied des ersten Kirchenvorstandes der Kapellengemeinde Buschdorf.";1978-10-19;
3725;Dahlienweg;;;
3166;Forstweg;"Ein Weg, der zum Forst führte, in dem auch das Forsthaus Hardt liegt. 1932 wurde hier das erste Haus errichtet.";;
4631;Oderstraße;"Oder, Grenzfluss zwischen Polen und Deutschland.";1962-08-20;
1201;"Endenicher Straße";"Endenich, Ortsteil von Bonn.";;1903-01-01
4231;"Glogauer Straße";"Glogau, Stadt in Schlesien, heute Glogów in Polen.";1980-09-16;
1189;Elisabeth-Enseling-Straße;"Elisabeth Enseling (1907-1998), Stadtverordnete für Dransdorf und Mitglied des Deutschen Bundestages.";2004-03-02;
4836;"Lessenicher Kirchpädchen";"Lessenich, Ortsteil von Bonn.";2009-09-17;2009-12-02
3007;"Am Brünnchen";"Der Weg führt von der Burggrafenstraße abgehend am Weiher des früheren Mylendonker Hofes vorbei bis zum Ende des Pützwegs, wo sich bis vor einiger Zeit das Brünnchen befand. Der Weiher wird auch die Maar genannt.";1956-03-20;
1689;Aloys-Schulte-Straße;"Aloys Schulte (1857-1941), Historiker, Professor an der Universität Bonn.";1974-10-22;1978-01-01
1549;Mordkapellenpfad;"Marterkapelle (Mordkapelle), legendärer Ort des Martyriums der Bonner Stadtpatrone Cassius und Florentius.";;
4635;Pregelstraße;"Pregel, russisch Pregolja, Fluss in der russischen Exklave Kaliningrad (Königsberg).";1962-08-20;
3227;"Im Rheinfeld";"Flurname. 1726 bereits so bezeichnet.";1957-02-25;
3865;"Dollendorfer Allee";"Allee führt in Richtung Ober- bzw. Niederdollendorf.";1992-02-11;
1094;Bergstraße;;1904-07-15;
1105;Erich-Hoffmann-Straße;"Erich Hoffmann (1868-1959), Dermatologe, Mitentdecker des Syphiliserregers.";1978-02-28;
1363;"Im Winkel";Flurname.;1973-09-11;1973-10-08
1374;Heinrich-Schneiders-Straße;"Heinrich Schneiders (1881-1927), Vorsitzender des Bonner Turnvereins und Förderer des Bonner Sports.";1974-10-22;1978-01-01
3773;Braunkehlchenweg;;1987-12-15;
3502;Saynstraße;"Die Grafen von Sayn waren im Mittelalter die Begründer der Herrschaft Löwenburg, die 1483 durch Erbkauf in den Besitz der Herzöge von Jülich und Berg kam.";1963-11-06;
2025;Amselhang;;1967-03-17;
4484;Weierbornstraße;"Flurname, Born bezeichnet einen natürlicher Quellbrunnen.";1900-11-12;
3193;Gorch-Fock-Straße;"Gorch Fock (1880-1916), Schriftsteller, Pseudonym für Hans Kinau.";1991-10-15;
1398;Johannes-von-Hanstein-Straße;"Johannes von Hanstein (1822-1880), Botaniker, Gründer des Botanischen Gartens.";1953-02-05;
4073;Hubertusstraße;;1949-09-16;
2152;"Grüner Weg";Flurname.;1930-01-09;
2057;Burgblick;"In der Nähe der Godesburg gelegen.";1977-03-24;1978-01-01
2081;Camphausenallee;"Ludwig von Camphausen (1803-1890), Kölner Bankier, preußischer Finanzminister.";1935-06-17;
3039;"An der Küppe";"Flurname. Küppe-Kreuz, ein in der Nähe befindliches Wegekreuz. Küppe bedeutet mundartlich eine Erhebung im Gelände (Kuppe).";1979-09-18;
1318;Haydnstraße;"Josef Haydn (1732-1809), Komponist. Berühmt ist sein Treffen mit den jungen Beethoven in Godesberg im Sommer 1792.";1900-09-28;
3527;Schnufertsberg;Flurname.;2005-09-27;
2483;Andreas-Hermes-Straße;"Andreas Hermes (1878-1964), Zentrumspolitiker, Reichsminister in der Weimarer Republik, Widerstand gegen das NS-Regime 1933-1945, 1945 Übersiedlung nach Bad Godesberg.";1989-08-22;
3543;Haffstraße;"Haffs sind flache Strandseen in Ostpreußen, die durch Nehrungen vom Meer getrennt sind.";1977-03-24;1978-08-01
1350;Humperdinckstraße;"Engelbert Humperdinck (1854-1921), in Siegburg geborener Komponist.";;
3848;"Römlinghovener Straße";"Römlinghoven, Ortsteil der Stadt Königswinter.";1896-11-30;
3539;Stiftsmühlenweg;"Weg zur ehemaligen Wassermühle des Vilicher Stifts in Vilich-Müldorf.";2005-05-12;
1322;Heinrich-Els-Straße;"Heinrich Els (1883-1944), Mediziner, Professor an der Universität Bonn.";1954-10-28;
1267;Gerhard-von-Are-Straße;"Gerhard von Are (gestorben 1169), Propst des Bonner Münsters 1124-1169, Erbauer u.a. des Kreuzganges der Münsterkirche.";1908-08-07;
1345;Holunderweg;;1951-02-09;
4344;"Im Göseler";Flurname.;1984-06-14;
4203;"An der Landstraße";Flurname.;1951-02-01;
1533;Gerhard-Domagk-Straße;"Gerhard Domagk (1895-1964), Pathologe und Bakteriologe, Nobelpreis für Medizin 1939.";1977-03-24;1978-01-01
2349;Rolandstraße;"Roland, Titelheld der Rolandsage.";1901-04-01;
2053;Beethovenallee;"Ludwig van Beethoven (1770-1827), Komponist, geboren in Bonn.";1977-03-24;1978-01-01
1455;Kreuzbergallee;"Kreuzberg, Anhöhe in Bonn, auf der im 17. Jahrhundert im Auftrag des Kölner Kurfürsten Ferdinand von Bayern die Kreuzbergkirche errichtet wurde. Im 18. Jahrhundert stiftete Kurfürst Clemens August die vor der Kirche gelegene Heilige Stiege.";;
1747;"Tilsiter Straße";"Tilsit, Stadt im Memelland, heute Sowetsk in der russischen Exklave Kaliningrad (Königsberg).";1962-12-13;
4455;Katharinenstraße;;1972-12-19;
1802;Wasserland;"Neubaugebiet der 1970er Jahre zwischen Kessenich und Dottendorf. Gebiet eines Altrheinarms (Gumme oder Kumme), daher früher stets sumpfig oder gar wasserführend.";;
1055;"An der Windmühle";"Die 1700 erbaute Windmühle stand hier bis zum Jahre 1879.";1898-11-04;
3774;Hövelweg;Flurname.;1974-09-24;1974-12-13
4615;Ferdinandstraße;"Ferdinand von Wittelsbach (1577-1650), Erzbischof und Kurfürst von Köln 1612-1650, legte 1627 den Grundstein zur Kreuzbergkirche.";1963-07-29;
2257;"Ließemer Weg";"Liessem, Ortsteil der Gemeinde Wachtberg.";;
1506;"Auerberger Allee";"Auerberg, Bonner Ortsteil.";1996-04-23;1996-06-15
2241;Kottenstraße;"Flurname. Kottenweg bezeichnet einen Feldweg.";;
